iter	Passed	Remaining
0	36	36221
1	66	33109
2	89	29735
3	136	33885
4	165	32979
5	181	30020
6	217	30915
7	252	31353
8	261	28846
9	305	30258
10	315	28373
11	360	29642
12	399	30293
13	441	31113
14	497	32670
15	536	32982
16	571	33048
17	593	32392
18	641	33096
19	660	32349
20	677	31588
21	715	31809
22	738	31387
23	776	31589
24	821	32053
25	865	32413
26	915	33004
27	941	32683
28	974	32636
29	998	32283
30	1045	32678
31	1079	32652
32	1103	32339
33	1128	32051
34	1167	32195
35	1190	31870
36	1213	31571
37	1258	31856
38	1281	31567
39	1326	31843
40	1371	32071
41	1396	31845
42	1441	32090
43	1489	32368
44	1506	31966
45	1543	32011
46	1566	31755
47	1596	31661
48	1624	31536
49	1649	31346
50	1673	31131
51	1708	31139
52	1724	30819
53	1751	30681
54	1773	30466
55	1823	30745
56	1839	30434
57	1856	30156
58	1894	30220
59	1925	30170
60	1971	30348
61	2002	30291
62	2054	30549
63	2086	30509
64	2109	30350
65	2139	30270
66	2188	30479
67	2235	30635
68	2283	30806
69	2324	30876
70	2374	31072
71	2397	30903
72	2420	30738
73	2483	31076
74	2505	30905
75	2551	31016
76	2597	31137
77	2627	31062
78	2674	31185
79	2697	31021
80	2741	31099
81	2775	31072
82	2825	31215
83	2858	31176
84	2875	30951
85	2899	30819
86	2938	30835
87	2955	30626
88	3003	30745
89	3035	30693
90	3086	30835
91	3110	30694
92	3140	30630
93	3183	30678
94	3230	30770
95	3247	30577
96	3276	30500
97	3318	30544
98	3363	30611
99	3385	30472
100	3401	30275
101	3421	30125
102	3445	30009
103	3487	30044
104	3509	29918
105	3534	29807
106	3570	29800
107	3604	29771
108	3628	29659
109	3681	29790
110	3713	29737
111	3727	29557
112	3748	29427
113	3796	29505
114	3820	29404
115	3847	29318
116	3913	29538
117	3960	29604
118	3982	29480
119	4011	29415
120	4032	29295
121	4055	29189
122	4102	29251
123	4127	29157
124	4173	29212
125	4214	29236
126	4243	29167
127	4265	29057
128	4312	29116
129	4353	29133
130	4395	29157
131	4417	29046
132	4438	28930
133	4477	28937
134	4511	28908
135	4554	28933
136	4642	29244
