iter	Passed	Remaining
0	3	3476
1	6	3552
2	9	3355
3	21	5394
4	28	5942
5	33	5643
6	37	5478
7	40	5212
8	43	4923
9	47	4857
10	51	4783
11	54	4624
12	57	4506
13	62	4566
14	66	4509
15	69	4378
16	71	4256
17	73	4146
18	77	4129
19	80	4040
20	82	3950
21	84	3865
22	86	3790
23	88	3724
24	92	3702
25	94	3662
26	97	3608
27	99	3565
28	102	3522
29	104	3479
30	107	3462
31	110	3439
32	113	3418
33	115	3397
34	118	3362
35	120	3330
36	124	3331
37	127	3322
38	129	3302
39	133	3304
40	136	3289
41	140	3315
42	144	3309
43	146	3277
44	148	3244
45	150	3214
46	152	3185
47	156	3208
48	159	3187
49	161	3160
50	163	3134
51	165	3112
52	167	3092
53	171	3098
54	177	3138
55	179	3123
56	181	3100
57	183	3078
58	187	3092
59	190	3079
60	193	3071
61	195	3057
62	197	3037
63	199	3018
64	203	3022
65	205	3006
66	207	2987
67	210	2983
68	213	2968
69	216	2963
70	219	2962
71	222	2957
72	224	2944
73	226	2932
74	229	2917
75	233	2929
76	236	2927
77	238	2912
78	241	2905
79	243	2897
80	246	2885
81	249	2887
82	254	2907
83	257	2900
84	260	2899
85	264	2904
86	267	2898
87	270	2898
88	273	2891
89	276	2887
90	280	2890
91	283	2893
92	286	2885
93	289	2882
94	292	2876
95	296	2885
96	300	2891
97	304	2898
98	308	2897
99	313	2914
100	317	2918
101	322	2937
102	327	2947
103	331	2949
104	335	2952
105	340	2965
106	345	2976
107	349	2987
108	353	2985
109	356	2984
110	362	3005
111	366	3005
112	369	3001
113	373	3002
114	378	3012
115	381	3009
116	385	3008
117	390	3017
118	394	3017
119	397	3016
120	401	3014
121	405	3020
122	411	3032
123	415	3033
124	419	3034
125	425	3053
126	429	3053
127	433	3054
128	437	3058
129	443	3071
130	447	3071
131	450	3065
132	454	3062
133	459	3071
134	462	3068
135	465	3061
136	470	3069
137	477	3089
138	482	3095
139	486	3092
140	490	3090
141	494	3089
142	499	3097
143	502	3093
144	506	3089
145	509	3082
146	513	3081
147	516	3080
148	521	3083
149	524	3077
150	528	3074
151	533	3079
152	537	3078
153	539	3069
154	542	3059
155	545	3055
156	549	3052
157	551	3044
158	554	3034
159	557	3033
160	561	3029
161	566	3032
162	568	3023
163	571	3015
164	573	3007
165	576	2998
166	580	2999
167	585	3005
168	588	2996
169	590	2987
170	592	2978
171	597	2978
172	600	2975
173	603	2968
174	605	2958
175	607	2947
176	611	2944
177	614	2943
178	617	2934
179	619	2924
180	621	2915
181	624	2908
182	629	2913
183	632	2907
184	634	2899
185	637	2891
186	639	2882
187	645	2889
188	647	2880
189	649	2872
190	651	2863
191	654	2856
192	658	2857
193	663	2858
194	665	2849
195	667	2841
196	669	2832
197	673	2829
198	676	2823
199	679	2818
200	680	2808
201	682	2799
202	684	2789
203	686	2780
204	691	2781
205	693	2774
206	695	2766
207	698	2759
208	700	2751
209	702	2744
210	706	2742
211	708	2733
212	710	2724
213	712	2715
214	714	2707
215	716	2698
216	719	2694
217	721	2686
218	723	2678
219	725	2670
220	727	2661
221	729	2653
222	731	2646
223	733	2641
224	737	2638
225	739	2630
226	741	2622
227	743	2614
228	745	2606
229	746	2598
230	749	2591
231	751	2585
232	754	2579
233	755	2571
234	757	2563
235	759	2556
236	761	2548
237	763	2541
238	768	2543
239	771	2538
240	773	2533
241	776	2527
242	778	2521
243	783	2524
244	786	2521
245	790	2518
246	793	2515
247	798	2516
248	801	2515
249	805	2513
250	810	2516
251	815	2518
252	819	2517
253	823	2514
254	825	2509
255	829	2507
256	833	2507
257	837	2505
258	840	2502
259	844	2500
260	847	2497
261	851	2496
262	855	2496
263	859	2495
264	864	2496
265	868	2495
266	871	2491
267	874	2486
268	878	2485
269	880	2479
270	883	2473
271	885	2467
272	887	2460
273	889	2454
274	893	2452
275	896	2448
276	898	2441
277	900	2434
278	902	2428
279	904	2422
280	907	2418
281	910	2414
282	912	2408
283	914	2401
284	916	2394
285	917	2387
286	919	2381
287	922	2376
288	924	2370
289	926	2364
290	928	2357
291	930	2351
292	932	2344
293	933	2338
294	935	2332
295	939	2328
296	941	2323
297	943	2317
298	945	2312
299	947	2306
300	949	2300
301	951	2294
302	955	2291
303	957	2287
304	960	2282
305	962	2276
306	964	2270
307	966	2265
308	969	2261
309	971	2257
310	974	2252
311	976	2246
312	978	2241
313	980	2236
314	982	2231
315	986	2228
316	989	2225
317	992	2222
318	994	2217
319	997	2212
320	999	2207
321	1002	2204
322	1005	2200
323	1007	2195
324	1009	2190
325	1012	2186
326	1014	2180
327	1019	2180
328	1021	2175
329	1023	2171
330	1026	2168
331	1029	2164
332	1033	2163
333	1036	2160
334	1039	2155
335	1041	2151
336	1044	2146
337	1048	2146
338	1051	2143
339	1056	2143
340	1059	2140
341	1065	2143
342	1070	2143
343	1073	2141
344	1077	2138
345	1082	2140
346	1085	2137
347	1088	2133
348	1091	2130
349	1096	2130
350	1100	2128
351	1102	2124
352	1106	2121
353	1109	2119
354	1114	2118
355	1117	2116
356	1120	2111
357	1123	2108
358	1127	2107
359	1130	2104
360	1132	2099
361	1135	2095
362	1138	2092
363	1141	2089
364	1145	2086
365	1146	2080
366	1148	2075
367	1150	2069
368	1152	2064
369	1154	2059
370	1156	2054
371	1159	2050
372	1161	2046
373	1163	2040
374	1165	2035
375	1167	2030
376	1169	2024
377	1170	2019
378	1174	2016
379	1176	2012
380	1178	2008
381	1180	2003
382	1183	1998
383	1185	1993
384	1186	1988
385	1189	1985
386	1192	1981
387	1194	1976
388	1196	1971
389	1198	1966
390	1200	1961
391	1202	1956
392	1205	1953
393	1207	1949
394	1210	1945
395	1212	1941
396	1214	1936
397	1217	1932
398	1222	1933
399	1226	1931
400	1228	1927
401	1232	1926
402	1236	1923
403	1240	1921
404	1242	1918
405	1245	1913
406	1247	1909
407	1250	1905
408	1252	1902
409	1255	1897
410	1258	1895
411	1261	1891
412	1263	1888
413	1268	1887
414	1271	1883
415	1273	1880
416	1276	1876
417	1278	1871
418	1280	1867
419	1283	1864
420	1286	1860
421	1288	1856
422	1291	1852
423	1293	1849
424	1297	1847
425	1300	1843
426	1302	1839
427	1305	1835
428	1307	1831
429	1308	1826
430	1310	1821
431	1313	1818
432	1315	1814
433	1317	1809
434	1319	1805
435	1321	1800
436	1323	1796
437	1325	1791
438	1327	1787
439	1330	1783
440	1332	1779
441	1334	1774
442	1336	1770
443	1337	1765
444	1339	1761
445	1341	1756
446	1344	1753
447	1347	1750
448	1349	1745
449	1350	1741
450	1352	1736
451	1354	1732
452	1356	1727
453	1359	1724
454	1362	1721
455	1364	1717
456	1366	1713
457	1368	1708
458	1370	1704
459	1373	1701
460	1375	1697
461	1377	1693
462	1379	1689
463	1381	1684
464	1383	1680
465	1384	1676
466	1388	1673
467	1390	1669
468	1392	1665
469	1394	1661
470	1396	1656
471	1397	1652
472	1399	1648
473	1401	1644
474	1404	1641
475	1406	1636
476	1408	1632
477	1410	1628
478	1412	1624
479	1413	1620
480	1415	1615
481	1418	1612
482	1420	1608
483	1422	1604
484	1424	1600
485	1426	1596
486	1428	1593
487	1430	1589
488	1433	1585
489	1436	1582
490	1438	1578
491	1440	1574
492	1442	1571
493	1444	1567
494	1446	1563
495	1449	1560
496	1453	1558
497	1456	1556
498	1458	1552
499	1461	1548
500	1463	1545
501	1467	1543
502	1470	1540
503	1472	1536
504	1474	1533
505	1477	1529
506	1480	1527
507	1484	1525
508	1486	1521
509	1488	1518
510	1491	1514
511	1493	1511
512	1499	1510
513	1501	1507
514	1504	1504
515	1506	1501
516	1509	1498
517	1515	1498
518	1518	1495
